BZHISTID;BZNR;BZNAME;KTNR;GRNR;AREA_HA;E_MIN;E_MAX;N_MIN;N_MAX;E_CNTR;N_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;
10271;1723;Wahlkreis Rheintal;17;5;13894;2754722;2768769;1237425;1261716;2761100;1248100;395;1794;531;425;
10267;1724;Wahlkreis Werdenberg;17;5;20651;2742483;2758284;1214560;1238919;2751800;1225900;426;2383;993;877;
10269;1725;Wahlkreis Sarganserland;17;5;51778;2729149;2760298;1193269;1224325;2745200;1208800;419;3234;1493;1549;
10270;1726;Wahlkreis See-Gaster;17;5;24591;2702742;2736398;1221154;1242100;2720500;1230300;392;2101;822;751;
10264;1727;Wahlkreis Toggenburg;17;5;48859;2713649;2748651;1223061;1256076;2729700;1238900;521;2501;999;907;
10268;1728;Wahlkreis Wil;17;5;14524;2717951;2736250;1245594;1262913;2728600;1256100;470;1060;606;583;
10307;1841;Region Albula;18;5;68351;2756737;2787565;1141614;1182239;2769400;1163400;720;3416;2091;2167;
10308;1842;Region Bernina;18;5;23731;2793642;2811070;1121818;1146809;2802300;1133700;515;3899;2041;2115;
10318;1843;Region Engiadina Bassa / Val Müstair;18;5;119653;2790566;2833858;1157707;1209715;2815400;1181500;988;3408;2245;2308;
10310;1844;Region Imboden;18;5;20380;2735216;2757142;1180802;1197720;2746600;1190200;556;3243;1537;1445;
10311;1845;Region Landquart;18;5;17467;2754561;2768915;1191829;1214817;2761600;1203400;478;2804;1171;1051;
10312;1846;Region Maloja;18;5;97358;2755110;2804059;1128447;1174706;2783600;1149600;665;4048;2392;2448;
10313;1847;Region Moesa;18;5;49606;2724447;2743280;1114569;1154076;2733800;1134700;253;3281;1727;1803;
10314;1848;Region Plessur;18;5;28530;2753603;2780693;1177795;1196888;2766700;1187400;537;2979;1713;1795;
10315;1849;Region Prättigau / Davos;18;5;85340;2763746;2802712;1171440;1214786;2783200;1191100;561;3296;1908;1959;
10316;1850;Region Surselva;18;5;137355;2692838;2748348;1150436;1194955;2723000;1172700;616;3612;1970;2028;
10317;1851;Region Viamala;18;5;62759;2722861;2767117;1138908;1186521;2750200;1161300;600;3399;1960;2035;
10026;1901;Bezirk Aarau;19;3;10449;2639584;2653234;1240057;1257519;2647100;1248700;356;908;488;458;
10025;1902;Bezirk Baden;19;3;15309;2658690;2675607;1247075;1266682;2665400;1256100;325;859;464;438;
10024;1903;Bezirk Bremgarten;19;3;11747;2658423;2676827;1237887;1251434;2667600;1245000;346;741;486;474;
10023;1904;Bezirk Brugg;19;3;13007;2647205;2661767;1251308;1268547;2655200;1258500;325;800;463;440;
10022;1905;Bezirk Kulm;19;3;9727;2644120;2659133;1230370;1243289;2652700;1237400;432;872;579;573;
10021;1906;Bezirk Laufenburg;19;3;17178;2637807;2655906;1253219;1271946;2646500;1262600;289;870;469;466;
10020;1907;Bezirk Lenzburg;19;3;9810;2650211;2662055;1236022;1254892;2656200;1246500;345;713;462;448;
10019;1908;Bezirk Muri;19;3;13895;2661726;2674061;1221173;1244270;2669000;1233300;376;855;502;469;
10018;1909;Bezirk Rheinfelden;19;3;11186;2620698;2641083;1259078;1271001;2630800;1267600;255;750;401;377;
10017;1910;Bezirk Zofingen;19;3;14201;2629249;2649383;1231361;1244523;2634200;1236500;389;713;497;483;
10016;1911;Bezirk Zurzach;19;3;13001;2653961;2674275;1262096;1274772;2663900;1268200;300;612;429;423;
10293;2011;Bezirk Arbon;20;5;8907;2736168;2753626;1260086;1273958;2739800;1268300;394;598;447;441;
10294;2012;Bezirk Frauenfeld;20;5;27963;2692317;2720577;1262878;1283504;2708800;1273900;368;721;485;467;
10295;2013;Bezirk Kreuzlingen;20;5;12917;2718781;2741010;1270413;1281816;2729200;1276200;394;722;508;514;
10296;2014;Bezirk Münchwilen;20;5;13819;2708725;2724914;1248320;1266561;2715500;1258600;422;991;601;579;
10297;2015;Bezirk Weinfelden;20;5;22708;2717314;2741841;1259769;1276131;2728600;1267200;404;775;514;507;
10007;2101;Distretto di Bellinzona;21;7;22633;2714029;2732913;1108218;1128601;2722300;1117400;199;2725;993;989;
10006;2102;Distretto di Blenio;21;7;36058;2701992;2727972;1137168;1165700;2716300;1150900;349;3400;1825;1894;
10005;2103;Distretto di Leventina;21;7;47953;2672484;2717542;1129186;1160092;2695000;1153800;285;3153;1816;1912;
10004;2104;Distretto di Locarno;21;7;55078;2679075;2716040;1103633;1140245;2697500;1112600;193;2862;1251;1255;
10003;2105;Distretto di Lugano;21;7;30795;2704392;2727695;1085236;1111689;2716000;1101000;232;2227;790;702;
10002;2106;Distretto di Mendrisio;21;7;10075;2714496;2728083;1075268;1088158;2721000;1081800;221;1614;608;561;
10040;2107;Distretto di Riviera;21;7;14562;2712493;2727489;1123533;1140011;2720000;1132200;244;2954;1409;1515;
