UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{972197B7-011E-4E31-A49F-6EE8540E41A0};Strasse;TLM_STRASSE;gedeckte Bruecke;{048DADC9-D7BD-4D3C-A945-A409372AB7C4};Mettlenbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2748644;1244590;759
{42CFFE4F-3593-403A-8F84-26DBD4320300};Strasse;TLM_STRASSE;Bruecke;{20AC91C2-F0D7-4923-81E1-BDB037AF8D32};Teufengraben-Viadukt;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2629153;1242647;516
{0BA326FE-234B-4DBC-890B-F5A301E78530};Strasse;TLM_STRASSE;Bruecke;{D60F6DB4-D6BF-4A0D-B0CB-DB5DD7705CC3};Punt Vaüglia;offiziell;Rumantsch Grischun inkl. Lokalsprachen;einfacher Name;;2798442;1163169;1919
{1C503BC0-7FDD-401F-96CF-18C0A3D56E76};Strasse;TLM_STRASSE;Bruecke;{50032333-4D83-4D1D-B5CC-1F787FC7AA4F};Wohleibrügg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2593934;1201683;481
{FE7928E7-8417-4F3E-ACE9-C9930AF847F5};Strasse;TLM_STRASSE;Bruecke;{6E2108DA-997A-48D0-B313-DCAF422F88D8};Stierebrügg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2609089;1161521;1110
{F7F6064D-889E-4FDB-80C7-19448A988F17};Strasse;TLM_STRASSE;Tunnel;{5EF16981-A7D7-40EF-863D-1C88290BBB95};Galerie de la Heutte;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2583664;1226302;621
{4A2B367F-3971-4422-B637-02042545444F};Strasse;TLM_STRASSE;Tunnel;{4A8AB7FF-420D-40EF-A045-1BB8851C841C};Tunnel Engi;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2723692;1247696;605
{F8E2F357-96DE-4827-AB9F-50DC5F9ED527};Strasse;TLM_STRASSE;k_W;{77B09A8C-2DD9-45B8-BD70-DDE73179CF84};Chäligang-Klettersteig;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2609455;1144472;1712
{E9DC6FD5-BB73-4F11-8886-20E8E187458F};Strasse;TLM_STRASSE;Tunnel;{8C6D1EFF-6264-4787-8B00-EBC959F8E55B};Büttenbergtunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2588682;1221928;502
{D7940696-4074-4D7E-86D1-C73AE19C8E50};Strasse;TLM_STRASSE;gedeckte Bruecke;{FD53EB33-C6B9-4C28-867E-67CD1934AB6C};Lankbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2747907;1245862;741
{8416490E-5DE4-4DED-ACB3-9E021B10696A};Strasse;TLM_STRASSE;Galerie;{6C9B7FB0-1BE0-42A2-9F82-694A7DA23F20};Heuegggalerie;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2687697;1167945;1222
{D49607DB-B748-452F-85CE-288A11ED7ACD};Strasse;TLM_STRASSE;Bruecke;{C33D6BFA-4E1B-45A1-BAC6-BE37E68AADC2};Viaduc du Chaney;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2573054;1175335;682
{518A03AE-8023-4584-8AFC-3A104AEA80A6};Strasse;TLM_STRASSE;Tunnel;{5B48DDF4-C66C-47D9-80B5-45825F37096E};Mariazell-Tunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2652012;1225200;521
{99903CC0-E5DE-4991-82A1-E3232470A0C2};Strasse;TLM_STRASSE;Tunnel;{EBCDF9FA-6D8A-49A6-B827-4746B9381C90};Tranchée couverte d'Arare;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2497407;1113128;431
{847CBB88-30AC-4BE1-B98D-60221F1C6140};Strasse;TLM_STRASSE;Tunnel;{D0B991BE-6B8A-4ED0-95CC-FF8703D957CB};Binntaltunnel;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2655770;1135257;1425
{9B68472B-FA66-477C-8BC4-674BEC0BA4FC};Strasse;TLM_STRASSE;Keine;{93FCC0D9-1DA4-411D-89CE-B875C58F33B4};Ancien Bisse de l'Erneya;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2596619;1109144;1562
{70E0720F-3B0F-489B-AF45-890A5B67F502};Strasse;TLM_STRASSE;Tunnel;{BBDB7F94-AC88-4B6F-99A5-174EC1EA17DD};Intschitunnel 1;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2693355;1180115;594
{6897B4B1-28A6-4865-BB9A-1F55AD45752E};Strasse;TLM_STRASSE;Bruecke;{5D51ACDB-038C-4DA8-B520-66BA1873E94D};Schwarzwasserbrücke;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2594100;1190304;579
{71B8162E-1F7F-4B83-A33B-0898EA03216C};Strasse;TLM_STRASSE;Keine;{48AE8B11-D308-4E14-859A-314B313175C4};Geissgang;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2643550;1170578;1945
{044345A3-1715-4B11-A250-5CD0763CB086};Strasse;TLM_STRASSE;Tunnel;{3B4C3DF9-D619-47D8-B3BF-5DE1FB381855};Tunnel de Champ-Baly;offiziell;Franzoesisch inkl. Lokalsprachen;einfacher Name;;2543183;1179581;563
{EFBA56C8-8CE5-437C-A8B2-6EF66E7800F6};Strasse;TLM_STRASSE;Keine;{AF4868B5-4FB6-4197-BE4F-1D0D1411DF89};Müliweg;offiziell;Hochdeutsch inkl. Lokalsprachen;einfacher Name;;2596509;1182116;771
